ACC=0.428730, f1_macro=0.380072, precision_macro=0.426831, recall_macro=0.380562, f1_micro=0.428730, precision_micro=0.428730, recall_micro=0.428730, NMI=0.284300, ADJ_RAND_SCORE=0.163288
ACC=0.433161, f1_macro=0.389585, precision_macro=0.449894, recall_macro=0.395995, f1_micro=0.433161, precision_micro=0.433161, recall_micro=0.433161, NMI=0.303536, ADJ_RAND_SCORE=0.175134
ACC=0.440177, f1_macro=0.397986, precision_macro=0.458413, recall_macro=0.404608, f1_micro=0.440177, precision_micro=0.440177, recall_micro=0.440177, NMI=0.321061, ADJ_RAND_SCORE=0.186033
ACC=0.430576, f1_macro=0.398110, precision_macro=0.456375, recall_macro=0.410137, f1_micro=0.430576, precision_micro=0.430576, recall_micro=0.430576, NMI=0.325425, ADJ_RAND_SCORE=0.186880
ACC=0.489660, f1_macro=0.487907, precision_macro=0.543963, recall_macro=0.473997, f1_micro=0.489660, precision_micro=0.489660, recall_micro=0.489660, NMI=0.352142, ADJ_RAND_SCORE=0.250557
ACC=0.495569, f1_macro=0.489549, precision_macro=0.539627, recall_macro=0.485623, f1_micro=0.495569, precision_micro=0.495569, recall_micro=0.495569, NMI=0.350046, ADJ_RAND_SCORE=0.249801
ACC=0.594535, f1_macro=0.580317, precision_macro=0.612691, recall_macro=0.587250, f1_micro=0.594535, precision_micro=0.594535, recall_micro=0.594535, NMI=0.376768, ADJ_RAND_SCORE=0.297669
ACC=0.607459, f1_macro=0.591936, precision_macro=0.619557, recall_macro=0.601504, f1_micro=0.607459, precision_micro=0.607459, recall_micro=0.607459, NMI=0.389567, ADJ_RAND_SCORE=0.317141
ACC=0.623338, f1_macro=0.605391, precision_macro=0.629045, recall_macro=0.616276, f1_micro=0.623338, precision_micro=0.623338, recall_micro=0.623338, NMI=0.404653, ADJ_RAND_SCORE=0.343208
ACC=0.514402, f1_macro=0.509692, precision_macro=0.561955, recall_macro=0.524203, f1_micro=0.514402, precision_micro=0.514402, recall_micro=0.514402, NMI=0.370262, ADJ_RAND_SCORE=0.270670
ACC=0.527326, f1_macro=0.520143, precision_macro=0.568484, recall_macro=0.539282, f1_micro=0.527326, precision_micro=0.527326, recall_micro=0.527326, NMI=0.384560, ADJ_RAND_SCORE=0.289638
ACC=0.526219, f1_macro=0.517873, precision_macro=0.567642, recall_macro=0.537827, f1_micro=0.526219, precision_micro=0.526219, recall_micro=0.526219, NMI=0.387402, ADJ_RAND_SCORE=0.290567
ACC=0.534712, f1_macro=0.511388, precision_macro=0.513725, recall_macro=0.539471, f1_micro=0.534712, precision_micro=0.534712, recall_micro=0.534712, NMI=0.395219, ADJ_RAND_SCORE=0.301832
ACC=0.531388, f1_macro=0.509481, precision_macro=0.507191, recall_macro=0.527055, f1_micro=0.531388, precision_micro=0.531388, recall_micro=0.531388, NMI=0.392119, ADJ_RAND_SCORE=0.285982
ACC=0.531388, f1_macro=0.520180, precision_macro=0.567278, recall_macro=0.542212, f1_micro=0.531388, precision_micro=0.531388, recall_micro=0.531388, NMI=0.392082, ADJ_RAND_SCORE=0.295925
ACC=0.601551, f1_macro=0.601723, precision_macro=0.627703, recall_macro=0.638103, f1_micro=0.601551, precision_micro=0.601551, recall_micro=0.601551, NMI=0.420445, ADJ_RAND_SCORE=0.331066
ACC=0.619645, f1_macro=0.615674, precision_macro=0.632701, recall_macro=0.643032, f1_micro=0.619645, precision_micro=0.619645, recall_micro=0.619645, NMI=0.420889, ADJ_RAND_SCORE=0.353414
ACC=0.530650, f1_macro=0.511561, precision_macro=0.511410, recall_macro=0.525444, f1_micro=0.530650, precision_micro=0.530650, recall_micro=0.530650, NMI=0.397570, ADJ_RAND_SCORE=0.287998
ACC=0.560931, f1_macro=0.555580, precision_macro=0.562876, recall_macro=0.585773, f1_micro=0.560931, precision_micro=0.560931, recall_micro=0.560931, NMI=0.389562, ADJ_RAND_SCORE=0.315405
ACC=0.334934, f1_macro=0.310220, precision_macro=0.346783, recall_macro=0.318934, f1_micro=0.334934, precision_micro=0.334934, recall_micro=0.334934, NMI=0.180228, ADJ_RAND_SCORE=0.106413
ACC=0.360783, f1_macro=0.347422, precision_macro=0.419307, recall_macro=0.354548, f1_micro=0.360783, precision_micro=0.360783, recall_micro=0.360783, NMI=0.184934, ADJ_RAND_SCORE=0.089583
ACC=0.285820, f1_macro=0.250838, precision_macro=0.269341, recall_macro=0.256228, f1_micro=0.285820, precision_micro=0.285820, recall_micro=0.285820, NMI=0.123362, ADJ_RAND_SCORE=0.057019
ACC=0.298744, f1_macro=0.278556, precision_macro=0.335144, recall_macro=0.289142, f1_micro=0.298744, precision_micro=0.298744, recall_micro=0.298744, NMI=0.141792, ADJ_RAND_SCORE=0.068625
ACC=0.283973, f1_macro=0.257868, precision_macro=0.328531, recall_macro=0.258753, f1_micro=0.283973, precision_micro=0.283973, recall_micro=0.283973, NMI=0.137673, ADJ_RAND_SCORE=0.066290
ACC=0.297267, f1_macro=0.256977, precision_macro=0.311137, recall_macro=0.257301, f1_micro=0.297267, precision_micro=0.297267, recall_micro=0.297267, NMI=0.141894, ADJ_RAND_SCORE=0.056569
ACC=0.309084, f1_macro=0.268160, precision_macro=0.313839, recall_macro=0.263868, f1_micro=0.309084, precision_micro=0.309084, recall_micro=0.309084, NMI=0.136041, ADJ_RAND_SCORE=0.065927
ACC=0.329764, f1_macro=0.301656, precision_macro=0.361677, recall_macro=0.289628, f1_micro=0.329764, precision_micro=0.329764, recall_micro=0.329764, NMI=0.160585, ADJ_RAND_SCORE=0.082876
ACC=0.345273, f1_macro=0.293811, precision_macro=0.365322, recall_macro=0.288340, f1_micro=0.345273, precision_micro=0.345273, recall_micro=0.345273, NMI=0.184286, ADJ_RAND_SCORE=0.100725
